id_prosite,num_prosite,id_enzyme
1206,PDOC00685,5325
1207,PDOC00585,5326
1208,PDOC00585,5327
1209,PDOC00685,5327
1210,PDOC00685,5328
1211,PDOC50975,5329
1212,PDOC00329,5330
1213,PDOC00141,5331
1214,PDOC00329,5333
1215,PDOC00329,5336
1216,PDOC00330,5339
1217,PDOC00421,5340
1218,PDOC00705,5345
1219,PDOC00142,5347
1220,PDOC00536,5356
1221,PDOC00460,5357
1222,PDOC01038,5358
1223,PDOC00519,5372
1224,PDOC00167,5378
1225,PDOC50980,5378
1226,PDOC00166,5382
1227,PDOC00166,5390
1228,PDOC00892,5392
1229,PDOC50980,5396
1230,PDOC50980,5397
1231,PDOC00151,5415
1232,PDOC00143,5420
1233,PDOC00523,5420
1234,PDOC00144,5421
1235,PDOC00145,5470
1236,PDOC00569,5472
1237,PDOC00813,5473
1238,PDOC00144,5485
1239,PDOC00405,5496
1240,PDOC00150,5505
1241,PDOC50991,5508
1242,PDOC00667,5517
1243,PDOC00667,5518
1244,PDOC00331,5519
1245,PDOC00832,5519
1246,PDOC00331,5529
1247,PDOC00146,5537
1248,PDOC00586,5537
1249,PDOC00147,5538
1250,PDOC00423,5539
1251,PDOC00690,5545
1252,PDOC00788,5546
1253,PDOC00789,5546
1254,PDOC00148,5547
1255,PDOC00690,5548
1256,PDOC00150,5553
1257,PDOC00150,5554
1258,PDOC00738,5555
1259,PDOC00151,5556
1260,PDOC00152,5556
1261,PDOC00700,5558
1262,PDOC00153,5560
1263,PDOC00423,5569
1264,PDOC00423,5572
1265,PDOC00947,5585
1266,PDOC00671,5587
1267,PDOC00150,5591
1268,PDOC00712,5602
1269,PDOC50263,5602
1270,PDOC00869,5606
1271,PDOC00885,5606
1272,PDOC51471,5614
1273,PDOC00798,5627
1274,PDOC00081,5628
1275,PDOC00423,5650
1276,PDOC00150,5652
1277,PDOC00149,5717
1278,PDOC01037,5719
1279,PDOC00628,5721
1280,PDOC00759,5728
1281,PDOC00407,5759
1282,PDOC00598,5892
1283,PDOC00599,5892
1284,PDOC00615,5892
1285,PDOC00147,5898
1286,PDOC00424,5900
1287,PDOC00149,5914
1288,PDOC00149,5916
1289,PDOC00424,5920
1290,PDOC00424,5921
1291,PDOC00424,5922
1292,PDOC00147,5928
1293,PDOC00147,5929
1294,PDOC00569,5940
1295,PDOC00677,5946
1296,PDOC00720,5950
1297,PDOC00518,5953
1298,PDOC00677,5953
1299,PDOC00677,5956
1300,PDOC00098,5959
1301,PDOC00647,5962
1302,PDOC00999,5965
1303,PDOC00425,5978
1304,PDOC00837,5978
1305,PDOC00425,5979
1306,PDOC01048,5989
1307,PDOC00462,5995
1308,PDOC00332,6003
1309,PDOC00714,6005
1310,PDOC01029,6009
1311,PDOC00427,6013
1312,PDOC00714,6015
1313,PDOC00149,6020
1314,PDOC00706,6024
1315,PDOC00833,6029
1316,PDOC00471,6031
1317,PDOC00154,6073
1318,PDOC00426,6073
1319,PDOC00840,6073
1320,PDOC00155,6080
1321,PDOC00156,6084
1322,PDOC00746,6087
1323,PDOC00157,6088
1324,PDOC51464,6092
1325,PDOC51464,6106
1326,PDOC00398,6132
1327,PDOC00172,6139
1328,PDOC00187,6141
1329,PDOC00081,6143
1330,PDOC00081,6144
1331,PDOC00589,6156
1332,PDOC00589,6157
1333,PDOC00158,6158
1334,PDOC00589,6162
1335,PDOC00158,6165
1336,PDOC00158,6166
1337,PDOC00519,6174
1338,PDOC00470,6185
1339,PDOC51167,6188
1340,PDOC00825,6190
1341,PDOC00825,6191
1342,PDOC00825,6200
1343,PDOC00706,6247
1344,PDOC00147,6248
1345,PDOC00706,6253
1346,PDOC00159,6274
1347,PDOC00333,6274
1348,PDOC00160,6275
1349,PDOC00161,6277
1350,PDOC00161,6278
1351,PDOC00363,6279
1352,PDOC00161,6280
1353,PDOC00161,6281
1354,PDOC00363,6282
1355,PDOC00363,6283
1356,PDOC00161,6285
1357,PDOC00161,6286
1358,PDOC00363,6287
1359,PDOC00363,6288
1360,PDOC00363,6290
1361,PDOC00363,6291
1362,PDOC00161,6292
1363,PDOC00161,6293
1364,PDOC00161,6294
1365,PDOC00161,6295
1366,PDOC00363,6296
1367,PDOC00363,6297
1368,PDOC00363,6298
1369,PDOC00363,6303
1370,PDOC00427,6307
1371,PDOC00427,6309
1372,PDOC00335,6310
1373,PDOC00335,6311
1374,PDOC50975,6311
1375,PDOC00427,6318
1376,PDOC00427,6322
1377,PDOC00427,6332
1378,PDOC00162,6351
1379,PDOC50975,6358
1380,PDOC00162,6360
1381,PDOC50975,6361
1382,PDOC50975,6369
1383,PDOC00659,6370
1384,PDOC50975,6370
1385,PDOC00810,6372
1386,PDOC50975,6374
1387,PDOC00773,6383
1388,PDOC00163,6385
1389,PDOC00427,6386
1390,PDOC51221,6391
1391,PDOC00427,6392
1392,PDOC50975,6395
1393,PDOC50975,6396
1394,PDOC50975,6398
1395,PDOC50975,6399
1396,PDOC00405,6422
1397,PDOC00595,6423
1398,PDOC00444,6424
1399,PDOC00488,6425
1400,PDOC00167,6426
1401,PDOC00676,6426
1402,PDOC50975,6426
1403,PDOC50979,6426
1404,PDOC00164,6433
1405,PDOC50975,6433
1406,PDOC50975,6434
1407,PDOC00676,6436
1408,PDOC50263,6444
1409,PDOC00405,6445
1410,PDOC00405,6446
1411,PDOC00406,6447
1412,PDOC00405,6448
1413,PDOC00676,6448
1414,PDOC50975,6448
1415,PDOC00948,6450
1416,PDOC00167,6455
1417,PDOC00676,6455
1418,PDOC50975,6455
1419,PDOC50979,6455
1420,PDOC50991,6455
1421,PDOC00167,6456
1422,PDOC00676,6456
1423,PDOC50979,6456
1424,PDOC50980,6456
1425,PDOC00167,6457
1426,PDOC00676,6457
1427,PDOC50975,6457
1428,PDOC50979,6457
1429,PDOC50980,6457
1430,PDOC00167,6458
1431,PDOC50975,6458
1432,PDOC50979,6458
1433,PDOC50980,6458
1434,PDOC00167,6459
1435,PDOC00676,6461
1436,PDOC50975,6461
1437,PDOC00295,6463
1438,PDOC00809,6464
1439,PDOC00989,6466
