id_enzyme,id_article
736,1511
740,1512
740,1513
740,1514
740,1515
740,1516
743,1517
743,1518
743,1519
744,1520
744,1521
744,1522
744,1523
744,1524
744,1525
744,1526
744,1527
744,1528
745,1529
745,1530
746,1531
746,1532
747,1533
748,1534
748,1535
749,1536
749,1537
749,1538
750,1539
750,1540
751,1541
751,1542
751,1543
751,1544
751,1545
752,1546
753,1547
753,1548
754,1549
754,888
754,889
755,1552
755,1553
755,1554
755,1555
755,1556
755,1557
756,1558
756,1559
756,1560
756,1561
756,1562
756,1563
757,1564
758,1565
758,1566
758,1567
758,1568
758,1569
759,1570
759,1571
759,1572
759,1573
760,1574
760,1575
760,1576
760,1572
761,1578
762,1579
763,1579
764,1579
764,1582
764,1583
765,1579
765,1585
765,1586
766,1587
767,1588
767,1589
767,1590
768,1591
768,1592
769,1593
769,1594
769,1595
769,1596
769,1597
771,1598
771,1599
771,1600
771,1601
771,1602
771,1603
771,1604
772,1605
772,1606
772,1607
773,1608
773,1609
774,1610
774,1611
774,1612
775,1613
775,1614
776,1615
776,1616
776,1617
776,1618
777,1619
777,1620
777,1600
777,1603
777,1602
777,1624
777,1625
777,1626
778,1627
778,1628
778,1629
778,1619
778,1631
779,1632
779,1633
779,1634
780,1635
781,1635
782,1637
782,1638
782,1639
782,1640
782,1641
782,1642
783,1643
783,1644
787,1645
788,1646
788,1647
788,1648
789,1649
791,1650
795,1651
797,1652
799,1653
799,1654
800,1655
800,1656
800,1657
800,1658
801,1659
801,1660
802,1661
805,1662
805,1663
806,1664
807,1665
807,1666
808,590
809,1668
810,1669
810,1670
810,1671
811,1672
811,1673
812,1668
813,1675
813,1676
814,1677
815,1678
815,1679
816,1680
817,1681
817,1682
817,1683
818,1684
819,1685
821,1686
822,1687
822,1688
822,1689
823,1690
823,1691
823,1692
823,1693
824,1694
824,1695
824,1696
825,1697
825,1698
825,1699
825,1695
826,1701
828,1702
829,1703
829,1704
829,1705
829,1706
830,1707
830,1708
831,1709
832,1710
